Zeitstempel;Niederschlag;Luftfeuchtigkeit;Globalstrahlung [W/m2];Lufttemperatur;Windgeschwindigkeit;Windrichtung
2023-04-30T14:00:01+02:00;0.0;61.54;250.0;16.51;0.7;149.0
2023-05-01T03:00:01+02:00;0.2;76.24;0.0;12.75;0.5;14.0
2023-05-01T04:00:01+02:00;0.8;89.61;0.0;11.84;0.5;274.0
2023-05-01T08:00:01+02:00;2.2;99.98;3.0;10.99;0.1;320.0
2023-05-01T10:00:01+02:00;1.0;99.99;58.0;11.39;0.1;300.0
2023-05-01T18:00:01+02:00;0.0;51.05;239.0;17.06;1.7;29.0
2023-05-05T10:00:01+02:00;0.0;77.26;373.0;17.35;0.6;235.0
2023-05-05T13:00:01+02:00;0.0;54.3;702.0;21.96;1.1;144.0
2023-05-05T18:00:01+02:00;0.6;93.84;29.0;15.41;0.5;238.0
2023-04-30T18:00:01+02:00;0.0;52.67;73.0;17.8;0.7;157.0
2023-05-01T22:00:01+02:00;0.0;69.48;0.0;14.26;0.3;307.0
2023-05-01T20:00:01+02:00;0.0;57.68;55.0;15.82;0.9;336.0
2023-05-01T19:00:01+02:00;0.0;53.18;153.0;16.35;1.2;2.0
2023-05-02T02:00:01+02:00;0.0;91.02;0.0;11.58;0.5;135.0
2023-05-02T05:00:01+02:00;0.0;97.07;0.0;10.41;0.4;180.0
2023-05-02T07:00:01+02:00;0.0;96.65;7.0;9.84;0.7;175.0
2023-05-02T11:00:01+02:00;0.0;65.77;560.0;14.66;1.0;155.0
2023-05-02T15:00:01+02:00;0.0;47.87;783.0;17.79;1.4;144.0
2023-05-02T16:00:01+02:00;0.0;43.13;775.0;18.65;1.2;132.0
2023-05-02T19:00:01+02:00;0.0;45.38;274.0;18.28;1.4;173.0
2023-05-02T22:00:01+02:00;0.0;78.54;0.0;14.07;0.9;255.0
2023-05-03T00:00:01+02:00;0.0;85.8;0.0;12.4;0.6;185.0
2023-05-03T06:00:01+02:00;0.0;86.15;0.0;8.31;0.9;116.0
2023-05-03T03:00:01+02:00;0.0;91.77;0.0;10.01;0.7;165.0
2023-05-03T18:00:01+02:00;0.0;35.05;232.0;20.59;1.5;261.0
2023-05-03T21:00:01+02:00;0.0;42.87;0.0;18.01;1.3;264.0
2023-05-03T23:00:01+02:00;0.0;52.08;0.0;16.01;0.8;263.0
2023-05-04T04:00:01+02:00;0.0;76.57;0.0;11.43;0.6;165.0
2023-05-04T10:00:01+02:00;0.0;58.86;499.0;15.86;1.2;256.0
2023-05-04T01:00:01+02:00;0.0;64.06;0.0;13.67;0.7;218.0
2023-05-04T06:00:01+02:00;0.0;85.68;0.0;9.41;0.6;171.0
2023-05-04T11:00:01+02:00;0.0;56.34;617.0;17.34;1.0;247.0
2023-05-04T12:00:01+02:00;0.0;52.73;711.0;19.14;1.1;263.0
2023-05-04T18:00:01+02:00;0.0;33.27;258.0;25.43;1.3;247.0
2023-05-04T19:00:01+02:00;0.0;34.07;184.0;25.41;0.8;210.0
2023-05-04T20:00:01+02:00;0.0;34.51;78.0;24.99;0.8;159.0
2023-05-05T20:00:01+02:00;0.0;89.19;45.0;17.0;0.6;283.0
2023-05-05T21:00:01+02:00;0.0;87.91;0.0;16.91;0.7;284.0
2023-05-06T02:00:01+02:00;0.0;98.54;0.0;14.89;0.5;281.0
2023-05-06T04:00:01+02:00;0.0;99.97;0.0;13.84;0.2;240.0
2023-05-06T06:00:01+02:00;0.0;99.99;0.0;13.31;0.2;178.0
2023-05-06T12:00:01+02:00;0.0;72.44;706.0;18.49;0.9;152.0
2023-05-06T14:00:01+02:00;0.0;63.13;772.0;20.33;1.2;144.0
2023-05-06T19:00:01+02:00;0.0;49.64;184.0;22.13;1.2;162.0
2023-05-06T22:00:01+02:00;0.0;63.92;0.0;19.29;0.6;187.0
2023-05-08T05:00:01+02:00;0.0;94.99;0.0;14.65;0.7;293.0
2023-05-08T07:00:01+02:00;0.0;93.54;0.0;14.77;0.6;294.0
2023-05-08T00:00:01+02:00;0.2;94.97;0.0;14.96;0.7;297.0
2023-05-08T10:00:01+02:00;1.0;96.35;129.0;15.16;0.4;289.0
2023-05-08T09:00:01+02:00;1.0;92.33;27.0;15.22;0.5;247.0
2023-05-08T12:00:01+02:00;0.2;91.17;148.0;15.91;0.7;286.0
2023-05-08T13:00:01+02:00;0.0;82.41;216.0;16.78;1.0;319.0
2023-05-07T20:00:01+02:00;0.0;77.31;35.0;17.15;1.7;6.0
2023-05-07T22:00:01+02:00;1.0;94.04;0.0;15.2;0.8;323.0
2023-05-07T13:00:01+02:00;0.0;65.33;532.0;19.46;1.4;100.0
2023-05-07T04:00:01+02:00;0.0;89.51;0.0;13.25;0.6;223.0
2023-05-07T09:00:01+02:00;0.0;83.29;306.0;14.45;1.0;266.0
2023-05-07T12:00:01+02:00;0.0;67.11;416.0;19.05;0.8;156.0
2023-05-07T18:00:01+02:00;0.0;60.19;148.0;20.08;2.0;47.0
2023-05-08T16:00:01+02:00;0.0;67.54;291.0;18.18;0.8;118.0
2023-05-08T17:00:01+02:00;0.0;65.93;355.0;19.14;0.8;86.0
2023-05-22T11:00:01+02:00;0.0;52.62;661.0;22.52;0.9;197.0
2023-05-22T17:00:01+02:00;0.0;39.75;565.0;26.48;1.9;69.0
2023-05-22T16:00:01+02:00;0.0;40.9;534.0;26.14;1.6;111.0
2023-05-22T03:00:01+02:00;0.0;88.91;0.0;15.4;0.7;251.0
2023-05-22T09:00:01+02:00;0.0;74.39;366.0;17.93;0.8;255.0
2023-05-22T02:00:01+02:00;0.0;84.86;0.0;16.41;0.5;247.0
2023-05-22T05:00:01+02:00;0.0;91.55;0.0;14.98;0.7;282.0
2023-05-22T07:00:01+02:00;0.0;91.98;37.0;14.2;0.6;249.0
2023-05-22T15:00:01+02:00;0.0;41.32;830.0;25.85;1.8;95.0
2023-05-22T19:00:01+02:00;0.0;48.63;91.0;25.28;1.0;148.0
2023-05-19T21:00:01+02:00;0.0;58.69;1.0;15.47;0.8;247.0
2023-05-20T19:00:01+02:00;0.0;65.87;82.0;18.37;0.7;236.0
2023-05-20T22:00:01+02:00;0.0;88.63;0.0;16.25;0.3;251.0
2023-05-21T09:00:01+02:00;0.0;83.18;297.0;15.23;0.5;143.0
2023-05-20T23:00:01+02:00;0.0;88.14;0.0;15.9;0.5;281.0
